time;ax;ay;az;aT
2.5870;-0.0047;-0.0550;-0.0404;0.068
2.5930;-0.0090;-0.0528;-0.0576;0.079
2.5970;-0.0138;-0.0838;-0.0889;0.123
2.6020;-0.0095;-0.0765;-0.0488;0.091
2.6070;-0.0296;-0.0642;-0.1089;0.130
2.6140;-0.0312;-0.1041;-0.1258;0.166
2.6170;-0.0094;-0.1054;-0.1284;0.166
2.6220;0.0263;-0.0923;-0.1407;0.170
2.6290;0.0189;-0.1027;-0.1577;0.189
2.6330;0.0597;-0.0938;-0.1462;0.184
2.6400;0.0767;-0.1089;-0.1062;0.170
2.6460;0.0514;-0.1236;-0.0856;0.159
2.6490;0.0787;-0.1147;-0.0794;0.160
2.6550;0.0635;-0.1252;-0.0920;0.168
2.6580;0.0629;-0.1501;-0.0997;0.191
2.6710;0.0345;-0.1798;-0.1214;0.220
2.6710;0.0255;-0.1618;-0.1381;0.214
2.6740;0.0260;-0.1298;-0.0977;0.165
2.6790;0.0073;-0.1314;-0.1431;0.194
2.6860;-0.0063;-0.1235;-0.0978;0.158
2.6880;0.0135;-0.1205;-0.0909;0.152
2.6930;-0.0050;-0.1222;-0.0888;0.151
2.6990;0.0383;-0.0952;-0.0773;0.129
2.7030;0.0050;-0.0919;-0.1088;0.143
2.7130;-0.0521;-0.0837;-0.0784;0.126
2.7150;-0.0710;-0.0752;-0.1055;0.148
2.7180;-0.0141;-0.0617;-0.0897;0.110
2.7230;-0.0197;-0.0814;-0.0503;0.098
2.7290;-0.0206;-0.0771;-0.0588;0.099
